year,race,sex,age,edclass,non_inst,inst,inst_rate
2000,1,1,25-29,1,365333.33333333296,32730,0.08222309682713813
2000,1,1,25-29,2,1982666.66666667,54790,0.026891369468798474
2000,1,1,25-29,3,1673000,38452,0.02246747206465621
2000,1,1,25-29,4,1918000,15326,0.00792727144827101
2000,1,1,30-34,1,368666.66666666704,34568,0.08572675629740821
2000,1,1,30-34,2,2136333.3333333298,52980,0.024199368447336646
2000,1,1,30-34,3,1743000,28430,0.01604918060549951
2000,1,1,30-34,4,2266000,8041,0.0035359960528416156
2000,1,1,35-39,1,483333.33333333296,33968,0.06566385549621631
2000,1,1,35-39,2,2865666.6666666702,59008,0.02017591928173433
2000,1,1,35-39,3,833000,33312,0.0384526590881807
2000,1,1,35-39,4,2388000,9208,0.0038411351872678547
2000,1,1,40-44,1,595000,28823,0.04620381101690704
2000,1,1,40-44,2,2942000,45481,0.015223862511594216
2000,1,1,40-44,3,2259000,27132,0.01186808110817748
2000,1,1,40-44,4,2518000,7539,0.0029851053577078
2000,1,1,45-49,1,428666.66666666704,16448,0.03695227596784047
2000,1,1,45-49,2,2345333.3333333298,27079,0.011414120395316345
2000,1,1,45-49,3,2116000,19323,0.00904921644172802
2000,1,1,45-49,4,2511000,7614,0.003023091271627967
2000,1,1,50-54,1,421000,12123,0.027989739635161374
2000,1,1,50-54,2,1771000,18257,0.010203676721678328
2000,1,1,50-54,3,1831000,13127,0.00711827330764096
2000,1,1,50-54,4,2363000,6480,0.002734777250704796
2000,1,1,55-59,1,462666.66666666704,12024,0.02533017993472238
2000,1,1,55-59,2,1656333.33333333,12828,0.007685296647977323
2000,1,1,55-59,3,1161000,6991,0.00598549132655988
2000,1,1,55-59,4,1589000,4651,0.002918455797411102
2000,1,1,60-64,1,602333.333333333,11278,0.018379712673712034
2000,1,1,60-64,2,1410666.66666667,12626,0.008870979451871906
2000,1,1,60-64,3,919000,5456,0.005901849303806779
2000,1,1,60-64,4,1137000,3464,0.0030373602323264916
2000,1,1,65-69,1,670000,13152,0.01925193807527461
2000,1,1,65-69,2,1255000,12061,0.00951887872801704
2000,1,1,65-69,3,725000,5157,0.007062864562005158
2000,1,1,65-69,4,910000,5390,0.0058882006576431905
2000,1,2,25-29,1,244000,4708,0.01892982935812278
2000,1,2,25-29,2,1675000,6455,0.003838937111013973
2000,1,2,25-29,3,1902000,7882,0.004126956534487471
2000,1,2,25-29,4,2129000,5483,0.0025687719227560023
2000,1,2,30-34,1,310000,5825,0.01844375841051215
2000,1,2,30-34,2,1991000,7386,0.00369598265800501
2000,1,2,30-34,3,1954000,4849,0.0024754332773991258
2000,1,2,30-34,4,2321000,2380,0.0010243696683280394
2000,1,2,35-39,1,475666.66666666704,6415,0.013306874008207452
2000,1,2,35-39,2,2676333.3333333298,8719,0.0032472365218952325
2000,1,2,35-39,3,2313000,6178,0.0026638748729075562
2000,1,2,35-39,4,2335000,2998,0.0012822936546566764
2000,1,2,40-44,1,431666.66666666704,6098,0.01392985881303043
2000,1,2,40-44,2,2898333.3333333298,8158,0.0028068206866606895
2000,1,2,40-44,3,2586000,4979,0.0019216674469380106
2000,1,2,40-44,4,2318000,1867,8.047875158360371e-4
2000,1,2,45-49,1,413666.66666666704,5338,0.012739714911687528
2000,1,2,45-49,2,2429333.3333333298,5417,0.00222486877846887
2000,1,2,45-49,3,2280000,4363,0.0019099416336195254
2000,1,2,45-49,4,2457000,2336,9.498498781785002e-4
2000,1,2,50-54,1,409333.33333333296,5234,0.012625210862409173
2000,1,2,50-54,2,2384666.6666666702,5682,0.0023770590789683925
2000,1,2,50-54,3,1907000,3376,0.001767191380126216
2000,1,2,50-54,4,1878000,2282,0.0012136477400730315
2000,1,2,55-59,1,516666.666666667,6555,0.012528150911181677
2000,1,2,55-59,2,2138333.3333333298,6146,0.002865963735097786
2000,1,2,55-59,3,1424000,3538,0.0024783928694017254
2000,1,2,55-59,4,1180000,2503,0.002116696532693786
2000,1,2,60-64,1,622000,8072,0.012811234271638796
2000,1,2,60-64,2,1878000,8302,0.004401204048980492
2000,1,2,60-64,3,943000,3389,0.0035809799141790534
2000,1,2,60-64,4,841000,3034,0.003594641922007881
2000,1,2,65-69,1,634666.666666667,14146,0.021802903560246965
2000,1,2,65-69,2,1921333.33333333,13401,0.006926532376624331
2000,1,2,65-69,3,779000,5102,0.006506806512418028
2000,1,2,65-69,4,588000,4462,0.007531284706867276
2000,2,1,25-29,1,101666.66666666699,57218,0.36012285641156827
2000,2,1,25-29,2,419333.33333333296,62981,0.13058081762723214
2000,2,1,25-29,3,335000,28797,0.07915678249133445
2000,2,1,25-29,4,193000,3427,0.01744668502802568
2000,2,1,30-34,1,98666.6666666667,53482,0.35151146028226776
2000,2,1,30-34,2,552333.333333333,60907,0.09931995123173573
2000,2,1,30-34,3,291000,24986,0.07907312349281297
2000,2,1,30-34,4,205000,2187,0.01055568158233866
2000,2,1,35-39,1,100666.66666666699,47183,0.319128213568286
2000,2,1,35-39,2,532333.333333333,56714,0.09628088744424618
2000,2,1,35-39,3,398000,27413,0.06443855735485281
2000,2,1,35-39,4,253000,3303,0.012887090670027272
2000,2,1,40-44,1,123333.33333333301,34445,0.2183126115753118
2000,2,1,40-44,2,570666.666666667,42439,0.06921971579667884
2000,2,1,40-44,3,372000,20328,0.05181378846271487
2000,2,1,40-44,4,189000,3525,0.018309310479158552
