"year","race","sex","age","edclass","non_inst","inst","inst_rate","tpop"
2001,1,1,"25-29",1,339.333333333333,33.0278333333333,0.0886983828872237,372.361166666667
2001,1,1,"25-29",2,1876.66666666667,54.7855,0.0283649271493737,1931.45216666667
2001,1,1,"25-29",3,1752,34.7518333333333,0.0194497258572842,1786.75183333333
2001,1,1,"25-29",4,1734,12.9898333333333,0.00743555176194023,1746.98983333333
2001,1,1,"30-34",1,394,32.9373333333333,0.0771479342791916,426.937333333333
2001,1,1,"30-34",2,2136,51.9991666666667,0.0237656245298692,2187.99916666667
2001,1,1,"30-34",3,1791,26.7723333333333,0.0147281003469998,1817.77233333333
2001,1,1,"30-34",4,2316,7.11566666666667,0.00306298423654325,2323.11566666667
2001,1,1,"35-39",1,464.666666666667,32.972,0.0662569092969732,497.638666666667
2001,1,1,"35-39",2,2618.33333333333,57.4506666666667,0.0214705920457954,2675.784
2001,1,1,"35-39",3,2026,31.0781666666667,0.0151079172246655,2057.07816666667
2001,1,1,"35-39",4,2433,8.30866666666667,0.00340336589965546,2441.30866666667
2001,1,1,"40-44",1,507,28.6716666666667,0.0535247026318983,535.671666666667
2001,1,1,"40-44",2,2854,46.1715,0.0159202654049942,2900.1715
2001,1,1,"40-44",3,2211,26.0826666666667,0.0116592323812203,2237.08266666667
2001,1,1,"40-44",4,2544,7.02916666666667,0.0027554238730447,2551.02916666667
2001,1,1,"45-49",1,473.666666666667,17.101,0.0348454088594535,490.767666666667
2001,1,1,"45-49",2,2337.33333333333,29.4366666666667,0.012437485123889,2366.77
2001,1,1,"45-49",3,2153,18.9408333333333,0.00872069489308525,2171.94083333333
2001,1,1,"45-49",4,2549,6.97983333333333,0.00273078576063361,2555.97983333333
2001,1,1,"50-54",1,410.666666666667,12.4695,0.0294692370501694,423.136166666667
2001,1,1,"50-54",2,1889.33333333333,19.0783333333333,0.00999696955670815,1908.41166666667
2001,1,1,"50-54",3,1998,13.1575,0.00654225240937122,2011.1575
2001,1,1,"50-54",4,2633,6.11733333333333,0.00231794670743451,2639.11733333333
2001,1,1,"55-59",1,537,11.8353333333333,0.0215644522400769,548.835333333333
2001,1,1,"55-59",2,1769,13.9095,0.00780157377589833,1782.9095
2001,1,1,"55-59",3,1263,7.724,0.00607842458315102,1270.724
2001,1,1,"55-59",4,1687,5.00416666666667,0.00295753802812739,1692.00416666667
2001,1,1,"60-64",1,550.666666666667,11.0256666666667,0.0196293700525258,561.692333333333
2001,1,1,"60-64",2,1403.33333333333,13.271,0.0093681769056662,1416.60433333333
2001,1,1,"60-64",3,896,6.04233333333333,0.00669850306360344,902.042333333333
2001,1,1,"60-64",4,1219,3.56533333333333,0.00291627223194071,1222.56533333333
2001,1,1,"65-69",1,710,13.063,0.0180661989342561,723.063
2001,1,1,"65-69",2,1280,12.4276666666667,0.00961575412473116,1292.42766666667
2001,1,1,"65-69",3,744,5.32683333333333,0.00710882500982549,749.326833333333
2001,1,1,"65-69",4,924,5.247,0.00564650733335701,929.247
2001,1,2,"25-29",1,304,4.82583333333333,0.0156263913586676,308.825833333333
2001,1,2,"25-29",2,1448,6.43266666666667,0.00442280128471629,1454.43266666667
2001,1,2,"25-29",3,1891,7.31016666666667,0.00385088105991811,1898.31016666667
2001,1,2,"25-29",4,2133,2.40533333333333,0.00112640597819368,2135.40533333333
2001,1,2,"30-34",1,342.333333333333,5.85083333333333,0.0168038466233148,348.184166666667
2001,1,2,"30-34",2,1821.66666666667,7.37716666666667,0.00403334602059382,1829.04383333333
2001,1,2,"30-34",3,2089,4.74066666666667,0.00226420909816593,2093.74066666667
2001,1,2,"30-34",4,2370,2.18916666666667,0.000922846582991028,2372.18916666667
2001,1,2,"35-39",1,422.333333333333,6.186,0.014435754746188,428.519333333333
2001,1,2,"35-39",2,2425.66666666667,8.78816666666667,0.00360991156883927,2434.45483333333
2001,1,2,"35-39",3,2326,6.09166666666667,0.00261210429835877,2332.09166666667
2001,1,2,"35-39",4,2495,2.59266666666667,0.00103806625526607,2497.59266666667
2001,1,2,"40-44",1,416.666666666667,6.03366666666667,0.0142740996182481,422.700333333333
2001,1,2,"40-44",2,2716.33333333333,8.16266666666667,0.00299602813388849,2724.496
2001,1,2,"40-44",3,2543,5.12583333333333,0.00201160918596707,2548.12583333333
2001,1,2,"40-44",4,2473,1.3945,0.000563572219385389,2474.3945
2001,1,2,"45-49",1,351.333333333333,5.37133333333333,0.015058208751591,356.704666666667
2001,1,2,"45-49",2,2483.66666666667,6.15616666666667,0.0024725320148281,2489.82283333333
2001,1,2,"45-49",3,2416,4.19583333333333,0.00173367513303848,2420.19583333333
2001,1,2,"45-49",4,2429,2.224,0.00091476556664462,2431.224
2001,1,2,"50-54",1,428,5.32183333333333,0.0122814797777326,433.321833333333
2001,1,2,"50-54",2,2521,5.9885,0.00236981687886589,2526.9885
2001,1,2,"50-54",3,2055,3.39366666666667,0.00164869661310332,2058.39366666667
2001,1,2,"50-54",4,2108,2.282,0.00108137206307024,2110.282
2001,1,2,"55-59",1,453,6.4755,0.0140932432741245,459.4755
2001,1,2,"55-59",2,2269,7.13466666666667,0.00313455384303565,2276.13466666667
2001,1,2,"55-59",3,1474,3.83266666666667,0.00259343750690764,1477.83266666667
2001,1,2,"55-59",4,1322,2.4765,0.00186979534933236,1324.4765
2001,1,2,"60-64",1,623,8.08666666666667,0.0128138765938117,631.086666666667
2001,1,2,"60-64",2,1966,9.30066666666667,0.0047084815104941,1975.30066666667
2001,1,2,"60-64",3,1039,3.77616666666667,0.00362126292043818,1042.77616666667
2001,1,2,"60-64",4,859,3.02633333333333,0.00351072028348709,862.026333333333
2001,1,2,"65-69",1,687.333333333333,14.0301666666667,0.0200041300504898,701.3635
2001,1,2,"65-69",2,1753.66666666667,13.6576666666667,0.0077278779050742,1767.32433333333
2001,1,2,"65-69",3,881,5.21233333333333,0.00588158518819982,886.212333333333
2001,1,2,"65-69",4,672,4.31016666666667,0.00637306206397903,676.310166666667
2002,1,1,"25-29",1,366,33.3256666666667,0.0834548576475174,399.325666666667
2002,1,1,"25-29",2,1762,54.781,0.0301527812102835,1816.781
2002,1,1,"25-29",3,1645,31.0516666666667,0.0185266762858345,1676.05166666667
2002,1,1,"25-29",4,1821,10.6536666666667,0.00581641980716515,1831.65366666667
