"year","race","sex","age","educ","tpop_2"
2000,1,1,"25-29",0,42
2000,1,1,"25-29",1,3943
2000,1,1,"25-29",2,4583
2000,1,1,"25-29",3,2350
2000,1,1,"25-29",4,1828
2000,1,1,"30-34",0,269
2000,1,1,"30-34",1,18010
2000,1,1,"30-34",2,49806
2000,1,1,"30-34",3,41712
2000,1,1,"30-34",4,38296
2000,1,1,"35-39",0,249
2000,1,1,"35-39",1,14885
2000,1,1,"35-39",2,44554
2000,1,1,"35-39",3,34390
2000,1,1,"35-39",4,36706
2000,1,1,"40-44",0,93
2000,1,1,"40-44",1,6937
2000,1,1,"40-44",2,10334
2000,1,1,"40-44",3,5266
2000,1,1,"40-44",4,4557
2000,1,1,"45-49",0,272
2000,1,1,"45-49",1,25714
2000,1,1,"45-49",2,49896
2000,1,1,"45-49",3,41738
2000,1,1,"45-49",4,38300
2000,1,1,"50-54",0,13
2000,1,1,"50-54",1,507
2000,1,1,"50-54",2,2612
2000,1,1,"50-54",3,2056
2000,1,1,"50-54",4,2472
2000,1,1,"55-59",0,14
2000,1,1,"55-59",1,474
2000,1,1,"55-59",2,1830
2000,1,1,"55-59",3,1890
2000,1,1,"55-59",4,2555
2000,1,1,"60-64",0,12
2000,1,1,"60-64",1,435
2000,1,1,"60-64",2,1587
2000,1,1,"60-64",3,1504
2000,1,1,"60-64",4,2153
2000,1,1,"65-69",0,11
2000,1,1,"65-69",1,512
2000,1,1,"65-69",2,1270
2000,1,1,"65-69",3,958
2000,1,1,"65-69",4,1363
2000,1,1,"70-74",0,14
2000,1,1,"70-74",1,468
2000,1,1,"70-74",2,956
2000,1,1,"70-74",3,615
2000,1,1,"70-74",4,895
2000,1,2,"25-29",0,4
2000,1,2,"25-29",1,325
2000,1,2,"25-29",2,1430
2000,1,2,"25-29",3,1888
2000,1,2,"25-29",4,2610
2000,1,2,"30-34",0,6
2000,1,2,"30-34",1,244
2000,1,2,"30-34",2,1210
2000,1,2,"30-34",3,1714
2000,1,2,"30-34",4,2477
2000,1,2,"35-39",0,5
2000,1,2,"35-39",1,270
2000,1,2,"35-39",2,1526
2000,1,2,"35-39",3,1926
2000,1,2,"35-39",4,2746
2000,1,2,"40-44",0,9
2000,1,2,"40-44",1,327
2000,1,2,"40-44",2,2005
2000,1,2,"40-44",3,2179
2000,1,2,"40-44",4,2583
2000,1,2,"45-49",0,4
2000,1,2,"45-49",1,409
2000,1,2,"45-49",2,2432
2000,1,2,"45-49",3,2621
2000,1,2,"45-49",4,2549
2000,1,2,"50-54",0,14
2000,1,2,"50-54",1,387
2000,1,2,"50-54",2,2399
2000,1,2,"50-54",3,2336
2000,1,2,"50-54",4,2672
2000,1,2,"55-59",0,6
2000,1,2,"55-59",1,351
2000,1,2,"55-59",2,2377
2000,1,2,"55-59",3,2049
2000,1,2,"55-59",4,2232
2000,1,2,"60-64",0,18
2000,1,2,"60-64",1,470
2000,1,2,"60-64",2,2021
2000,1,2,"60-64",3,1704
2000,1,2,"60-64",4,1729
2000,1,2,"65-69",0,4
2000,1,2,"65-69",1,525
2000,1,2,"65-69",2,1852
2000,1,2,"65-69",3,1169
2000,1,2,"65-69",4,966
2000,1,2,"70-74",0,14
2000,1,2,"70-74",1,507
2000,1,2,"70-74",2,1632
2000,1,2,"70-74",3,841
2000,1,2,"70-74",4,653
2001,1,1,"25-29",0,7
2001,1,1,"25-29",1,388
2001,1,1,"25-29",2,1821
2001,1,1,"25-29",3,1752
2001,1,1,"25-29",4,1734
2001,1,1,"30-34",0,4
2001,1,1,"30-34",1,458
2001,1,1,"30-34",2,2068
2001,1,1,"30-34",3,1791
2001,1,1,"30-34",4,2316
2001,1,1,"35-39",0,5
2001,1,1,"35-39",1,550
2001,1,1,"35-39",2,2528
2001,1,1,"35-39",3,2026
2001,1,1,"35-39",4,2433
2001,1,1,"40-44",0,8
2001,1,1,"40-44",1,584
2001,1,1,"40-44",2,2769
2001,1,1,"40-44",3,2211
2001,1,1,"40-44",4,2544
2001,1,1,"45-49",0,13
2001,1,1,"45-49",1,523
2001,1,1,"45-49",2,2275
2001,1,1,"45-49",3,2153
2001,1,1,"45-49",4,2549
2001,1,1,"50-54",0,12
2001,1,1,"50-54",1,448
2001,1,1,"50-54",2,1840
2001,1,1,"50-54",3,1998
2001,1,1,"50-54",4,2633
2001,1,1,"55-59",0,27
2001,1,1,"55-59",1,559
2001,1,1,"55-59",2,1720
2001,1,1,"55-59",3,1263
2001,1,1,"55-59",4,1687
2001,1,1,"60-64",0,11
2001,1,1,"60-64",1,578
2001,1,1,"60-64",2,1365
2001,1,1,"60-64",3,896
2001,1,1,"60-64",4,1219
2001,1,1,"65-69",0,7
2001,1,1,"65-69",1,755
2001,1,1,"65-69",2,1228
2001,1,1,"65-69",3,744
2001,1,1,"65-69",4,924
2001,1,1,"70-74",0,10
2001,1,1,"70-74",1,759
2001,1,1,"70-74",2,884
2001,1,1,"70-74",3,616
2001,1,1,"70-74",4,825
2001,1,2,"25-29",0,11
2001,1,2,"25-29",1,351
2001,1,2,"25-29",2,1390
2001,1,2,"25-29",3,1891
2001,1,2,"25-29",4,2133
2001,1,2,"30-34",0,2
2001,1,2,"30-34",1,390
2001,1,2,"30-34",2,1772
2001,1,2,"30-34",3,2089
2001,1,2,"30-34",4,2370
2001,1,2,"35-39",0,10
2001,1,2,"35-39",1,486
2001,1,2,"35-39",2,2352
2001,1,2,"35-39",3,2326
2001,1,2,"35-39",4,2495
2001,1,2,"40-44",0,8
2001,1,2,"40-44",1,470
2001,1,2,"40-44",2,2655
2001,1,2,"40-44",3,2543
2001,1,2,"40-44",4,2473
2001,1,2,"45-49",0,3
2001,1,2,"45-49",1,392
2001,1,2,"45-49",2,2440
2001,1,2,"45-49",3,2416
2001,1,2,"45-49",4,2429
2001,1,2,"50-54",0,3
2001,1,2,"50-54",1,478
2001,1,2,"50-54",2,2468
2001,1,2,"50-54",3,2055
2001,1,2,"50-54",4,2108
2001,1,2,"55-59",0,3
2001,1,2,"55-59",1,504
2001,1,2,"55-59",2,2215
2001,1,2,"55-59",3,1474
2001,1,2,"55-59",4,1322
2001,1,2,"60-64",0,12
2001,1,2,"60-64",1,678
2001,1,2,"60-64",2,1899
2001,1,2,"60-64",3,1039
2001,1,2,"60-64",4,859
2001,1,2,"65-69",0,9
2001,1,2,"65-69",1,752
2001,1,2,"65-69",2,1680
2001,1,2,"65-69",3,881
2001,1,2,"65-69",4,672
2001,1,2,"70-74",0,14
2001,1,2,"70-74",1,883
2001,1,2,"70-74",2,1690
2001,1,2,"70-74",3,863
2001,1,2,"70-74",4,515
2002,1,1,"25-29",0,4
2002,1,1,"25-29",1,436
2002,1,1,"25-29",2,1688
2002,1,1,"25-29",3,1645
2002,1,1,"25-29",4,1821
2002,1,1,"30-34",0,11
2002,1,1,"30-34",1,459
2002,1,1,"30-34",2,1960
2002,1,1,"30-34",3,1837
2002,1,1,"30-34",4,2282
2002,1,1,"35-39",0,16
2002,1,1,"35-39",1,511
2002,1,1,"35-39",2,2439
2002,1,1,"35-39",3,1970
2002,1,1,"35-39",4,2403
2002,1,1,"40-44",0,6
2002,1,1,"40-44",1,626
2002,1,1,"40-44",2,2816
2002,1,1,"40-44",3,2078
2002,1,1,"40-44",4,2556
2002,1,1,"45-49",0,7
2002,1,1,"45-49",1,549
2002,1,1,"45-49",2,2558
2002,1,1,"45-49",3,2121
2002,1,1,"45-49",4,2509
2002,1,1,"50-54",0,25
2002,1,1,"50-54",1,479
2002,1,1,"50-54",2,1936
2002,1,1,"50-54",3,2016
2002,1,1,"50-54",4,2569
2002,1,1,"55-59",0,12
2002,1,1,"55-59",1,572
2002,1,1,"55-59",2,1660
2002,1,1,"55-59",3,1363
2002,1,1,"55-59",4,2024
2002,1,1,"60-64",0,1
2002,1,1,"60-64",1,585
2002,1,1,"60-64",2,1390
2002,1,1,"60-64",3,943
2002,1,1,"60-64",4,1342
2002,1,1,"65-69",0,5
2002,1,1,"65-69",1,722
2002,1,1,"65-69",2,1189
2002,1,1,"65-69",3,687
2002,1,1,"65-69",4,913
2002,1,1,"70-74",0,13
2002,1,1,"70-74",1,807
2002,1,1,"70-74",2,992
2002,1,1,"70-74",3,577
2002,1,1,"70-74",4,785
2002,1,2,"25-29",0,6
2002,1,2,"25-29",1,344
2002,1,2,"25-29",2,1374
2002,1,2,"25-29",3,1718
2002,1,2,"25-29",4,2219
2002,1,2,"30-34",0,4
2002,1,2,"30-34",1,319
2002,1,2,"30-34",2,1654
2002,1,2,"30-34",3,2012
2002,1,2,"30-34",4,2527
2002,1,2,"35-39",0,9
2002,1,2,"35-39",1,410
2002,1,2,"35-39",2,2348
2002,1,2,"35-39",3,2263
2002,1,2,"35-39",4,2393
2002,1,2,"40-44",0,18
2002,1,2,"40-44",1,467
2002,1,2,"40-44",2,2673
2002,1,2,"40-44",3,2557
2002,1,2,"40-44",4,2474
2002,1,2,"45-49",0,9
2002,1,2,"45-49",1,412
2002,1,2,"45-49",2,2537
2002,1,2,"45-49",3,2400
2002,1,2,"45-49",4,2445
2002,1,2,"50-54",0,7
2002,1,2,"50-54",1,436
2002,1,2,"50-54",2,2404
2002,1,2,"50-54",3,2069
2002,1,2,"50-54",4,2249
2002,1,2,"55-59",0,10
2002,1,2,"55-59",1,532
2002,1,2,"55-59",2,2161
2002,1,2,"55-59",3,1657
2002,1,2,"55-59",4,1495
2002,1,2,"60-64",0,0
2002,1,2,"60-64",1,620
2002,1,2,"60-64",2,1964
2002,1,2,"60-64",3,1122
2002,1,2,"60-64",4,909
2002,1,2,"65-69",0,4
2002,1,2,"65-69",1,772
2002,1,2,"65-69",2,1728
2002,1,2,"65-69",3,836
2002,1,2,"65-69",4,640
2002,1,2,"70-74",0,6
2002,1,2,"70-74",1,845
2002,1,2,"70-74",2,1655
2002,1,2,"70-74",3,790
2002,1,2,"70-74",4,587
2003,1,1,"25-29",0,1
2003,1,1,"25-29",1,399
2003,1,1,"25-29",2,1722
2003,1,1,"25-29",3,1696
2003,1,1,"25-29",4,1747
2003,1,1,"30-34",0,16
2003,1,1,"30-34",1,455
2003,1,1,"30-34",2,1894
2003,1,1,"30-34",3,1786
2003,1,1,"30-34",4,2274
2003,1,1,"35-39",0,13
2003,1,1,"35-39",1,558
2003,1,1,"35-39",2,2278
2003,1,1,"35-39",3,1874
2003,1,1,"35-39",4,2299
2003,1,1,"40-44",0,13
2003,1,1,"40-44",1,598
2003,1,1,"40-44",2,2654
2003,1,1,"40-44",3,2093
2003,1,1,"40-44",4,2607
2003,1,1,"45-49",0,10
2003,1,1,"45-49",1,555
2003,1,1,"45-49",2,2544
2003,1,1,"45-49",3,2070
2003,1,1,"45-49",4,2628
2003,1,1,"50-54",0,22
2003,1,1,"50-54",1,448
2003,1,1,"50-54",2,1916
2003,1,1,"50-54",3,1989
2003,1,1,"50-54",4,2609
2003,1,1,"55-59",0,9
2003,1,1,"55-59",1,486
2003,1,1,"55-59",2,1651
2003,1,1,"55-59",3,1575
2003,1,1,"55-59",4,2186
2003,1,1,"60-64",0,5
2003,1,1,"60-64",1,599
2003,1,1,"60-64",2,1481
2003,1,1,"60-64",3,988
2003,1,1,"60-64",4,1421
2003,1,1,"65-69",0,3
2003,1,1,"65-69",1,596
2003,1,1,"65-69",2,1165
2003,1,1,"65-69",3,717
2003,1,1,"65-69",4,937
2003,1,1,"70-74",0,9
2003,1,1,"70-74",1,700
2003,1,1,"70-74",2,1104
2003,1,1,"70-74",3,582
2003,1,1,"70-74",4,808
2003,1,2,"25-29",0,6
2003,1,2,"25-29",1,301
2003,1,2,"25-29",2,1420
2003,1,2,"25-29",3,1801
2003,1,2,"25-29",4,2077
2003,1,2,"30-34",0,0
2003,1,2,"30-34",1,321
2003,1,2,"30-34",2,1718
2003,1,2,"30-34",3,1881
2003,1,2,"30-34",4,2549
2003,1,2,"35-39",0,2
2003,1,2,"35-39",1,383
2003,1,2,"35-39",2,2151
2003,1,2,"35-39",3,2138
2003,1,2,"35-39",4,2429
2003,1,2,"40-44",0,3
2003,1,2,"40-44",1,461
2003,1,2,"40-44",2,2501
2003,1,2,"40-44",3,2497
2003,1,2,"40-44",4,2607
2003,1,2,"45-49",0,9
2003,1,2,"45-49",1,361
2003,1,2,"45-49",2,2568
2003,1,2,"45-49",3,2450
2003,1,2,"45-49",4,2533
2003,1,2,"50-54",0,2
2003,1,2,"50-54",1,414
2003,1,2,"50-54",2,2342
2003,1,2,"50-54",3,2121
2003,1,2,"50-54",4,2277
2003,1,2,"55-59",0,0
2003,1,2,"55-59",1,485
2003,1,2,"55-59",2,2293
2003,1,2,"55-59",3,1720
2003,1,2,"55-59",4,1650
2003,1,2,"60-64",0,4
2003,1,2,"60-64",1,547
2003,1,2,"60-64",2,2010
2003,1,2,"60-64",3,1259
2003,1,2,"60-64",4,1001
2003,1,2,"65-69",0,7
2003,1,2,"65-69",1,722
2003,1,2,"65-69",2,1835
2003,1,2,"65-69",3,811
2003,1,2,"65-69",4,622
2003,1,2,"70-74",0,8
2003,1,2,"70-74",1,835
2003,1,2,"70-74",2,1652
2003,1,2,"70-74",3,722
2003,1,2,"70-74",4,569
2004,1,1,"25-29",0,14
2004,1,1,"25-29",1,432
2004,1,1,"25-29",2,1778
2004,1,1,"25-29",3,1666
2004,1,1,"25-29",4,1784
2004,1,1,"30-34",0,17
2004,1,1,"30-34",1,383
2004,1,1,"30-34",2,1865
2004,1,1,"30-34",3,1782
2004,1,1,"30-34",4,2194
2004,1,1,"35-39",0,5
2004,1,1,"35-39",1,463
2004,1,1,"35-39",2,2238
2004,1,1,"35-39",3,1775
2004,1,1,"35-39",4,2318
2004,1,1,"40-44",0,8
2004,1,1,"40-44",1,632
2004,1,1,"40-44",2,2617
2004,1,1,"40-44",3,2052
2004,1,1,"40-44",4,2573
2004,1,1,"45-49",0,22
2004,1,1,"45-49",1,491
2004,1,1,"45-49",2,2579
2004,1,1,"45-49",3,2116
2004,1,1,"45-49",4,2637
2004,1,1,"50-54",0,8
2004,1,1,"50-54",1,396
2004,1,1,"50-54",2,2053
2004,1,1,"50-54",3,2052
2004,1,1,"50-54",4,2610
2004,1,1,"55-59",0,16
2004,1,1,"55-59",1,473
2004,1,1,"55-59",2,1709
2004,1,1,"55-59",3,1617
2004,1,1,"55-59",4,2345
2004,1,1,"60-64",0,6
2004,1,1,"60-64",1,554
2004,1,1,"60-64",2,1490
2004,1,1,"60-64",3,999
