,year,age,sex,race,cause,mort
1,2000,25,0,1,a,30.832446529679
2,2000,25,0,1,c,7.35254457303378
3,2000,25,0,1,d,21.5752269484724
4,2000,25,0,1,h,4.34997829377451
5,2000,25,0,1,n,60.1178644500997
6,2000,25,0,1,o,17.5828950536125
7,2000,25,0,1,t,81.6930913985722
8,2000,25,0,1,v,0
9,2000,25,0,2,a,82.1105344968725
10,2000,25,0,2,c,8.26928787131624
11,2000,25,0,2,d,15.9562315263426
12,2000,25,0,2,h,13.3162710791618
13,2000,25,0,2,n,158.319980935341
14,2000,25,0,2,o,54.6238874879904
15,2000,25,0,2,t,174.276212461684
16,2000,25,0,2,v,0
17,2000,25,0,3,a,43.4979313406991
18,2000,25,0,3,c,6.55310879537051
19,2000,25,0,3,d,12.9056122194542
20,2000,25,0,3,h,3.74463359735458
21,2000,25,0,3,n,73.9565135477529
22,2000,25,0,3,o,20.1608398143287
23,2000,25,0,3,t,86.862125767207
24,2000,25,0,3,v,0
25,2000,25,0,4,a,29.270347678846
26,2000,25,0,4,c,5.65346279155281
27,2000,25,0,4,d,14.5895813975556
28,2000,25,0,4,h,2.64436162830696
29,2000,25,0,4,n,48.2368034956683
30,2000,25,0,4,o,10.6686313969626
31,2000,25,0,4,t,62.8263848932239
32,2000,25,0,4,v,0
33,2000,25,0,5,a,39.8363210975516
34,2000,25,0,5,c,7.25123792143772
35,2000,25,0,5,d,19.0030596745575
36,2000,25,0,5,h,5.38892737039689
37,2000,25,0,5,n,75.1720583634212
38,2000,25,0,5,o,22.695571974035
39,2000,25,0,5,t,94.1751180379786
40,2000,25,0,5,v,0
41,2000,25,1,1,a,45.7021343177297
42,2000,25,1,1,c,7.46022560910576
43,2000,25,1,1,d,34.7758746866943
44,2000,25,1,1,h,5.54565443508746
45,2000,25,1,1,n,79.4381987978451
46,2000,25,1,1,o,20.7301844359222
47,2000,25,1,1,t,114.214073484539
48,2000,25,1,1,v,0
49,2000,25,1,2,a,147.62649584764
50,2000,25,1,2,c,7.70873897463811
51,2000,25,1,2,d,27.6022589091881
52,2000,25,1,2,h,16.5779332787916
53,2000,25,1,2,n,231.593727904719
54,2000,25,1,2,o,59.6805598036499
55,2000,25,1,2,t,259.195986813907
56,2000,25,1,2,v,0
57,2000,25,1,3,a,71.9487812200499
58,2000,25,1,3,c,6.75726478363618
59,2000,25,1,3,d,21.6876022103371
60,2000,25,1,3,h,5.08403731340246
61,2000,25,1,3,n,107.923171830075
62,2000,25,1,3,o,24.1330885129863
63,2000,25,1,3,t,129.610774040412
64,2000,25,1,3,v,0
65,2000,25,1,4,a,51.582363843628
66,2000,25,1,4,c,8.14458376478337
67,2000,25,1,4,d,24.8514222566467
68,2000,25,1,4,h,4.38554510411412
69,2000,25,1,4,n,78.5221409117576
70,2000,25,1,4,o,14.4096481992321
71,2000,25,1,4,t,103.373563168404
72,2000,25,1,4,v,0
73,2000,25,1,5,a,63.616173457591
74,2000,25,1,5,c,7.41023558956554
75,2000,25,1,5,d,31.1466506057791
76,2000,25,1,5,h,6.84021746729127
77,2000,25,1,5,n,103.893869078669
78,2000,25,1,5,o,26.0272425642215
79,2000,25,1,5,t,135.040519684448
80,2000,25,1,5,v,0
81,2000,25,2,1,a,15.7270389632356
82,2000,25,2,1,c,7.24315653743901
83,2000,25,2,1,d,8.16531767067777
84,2000,25,2,1,h,3.13534785301179
85,2000,25,2,1,n,40.4912570322111
86,2000,25,2,1,o,14.3857136785247
87,2000,25,2,1,t,48.6565747028889
88,2000,25,2,1,v,0
89,2000,25,2,2,a,24.3907218375699
90,2000,25,2,2,c,8.76313359433649
91,2000,25,2,2,d,5.69603683631872
92,2000,25,2,2,h,10.4427341999176
93,2000,25,2,2,n,93.7655294594004
94,2000,25,2,2,o,50.1689398275764
95,2000,25,2,2,t,99.4615662957191
96,2000,25,2,2,v,0
97,2000,25,2,3,a,12.7343001040788
98,2000,25,2,3,c,6.33235688235612
99,2000,25,2,3,d,3.40973062896099
100,2000,25,2,3,h,2.29634919909618
101,2000,25,2,3,n,37.2286915611047
102,2000,25,2,3,o,15.8656853755736
103,2000,25,2,3,t,40.6384221900656
104,2000,25,2,3,v,0
105,2000,25,2,4,a,11.9774597156755
106,2000,25,2,4,c,3.72272396568294
107,2000,25,2,4,d,6.63616011273916
108,2000,25,2,4,h,1.29486050980276
